Project Title,Objective,OutCome,Skills,SuperVisior
Disease Prediction System Using ML Algorithms,To predict diseases based on symptoms and medical parameters To compare ML models for healthcare prediction accuracy To assist early diagnosis using data-driven techniques To analyze the importance of clinical features,Research paper,Python Machine Learning fundamentals Data handling (Pandas NumPy) Visualization (Matplotlib) Ba,Rajni Devi(E15439)
Automated Smart Waste Segregation System Using Sensors,To automate waste segregation To reduce human involvement in waste handling To improve recycling efficiency To support sustainable waste management,Research paper,Embedded systems programming Sensor interfacing (moisture inductive) Motor and actuator control,Rajni Devi(E15439)
Smart Home Automation System Using IoT,To automate household appliances To enable remote monitoring and control To improve energy efficiency To enhance user comfort and safety,Research paper,Embedded C / Arduino programming Relay and load control IoT platforms and mobile apps Basic elect,Rajni Devi(E15439)
Quantum-Inspired Optimization Algorithms for Efficient Cloud Resource Management,Implement quantum-inspired metaheuristics for multi-objective cloud optimization. Simulate workload distribution and resource provisioning on cloud platforms. Compare performance against classical methods in utilization latency and energy.,Research paper,Python Machine learning,Vaneet Kumar(E11321)
IoT-Enabled Audio-Based Attendance System Using Speaker Recognition,To capture voice samples using a microphone To identify individuals using speaker recognition To automatically mark attendance in a cloud database To provide real-time monitoring via a web/mobile interface,Product,Python IoT,Vaneet Kumar(E11321)
Climate Change Impact Assessment on Agricultural Productivity Using Machine Learning Techniques,To analyze historical climate data and agricultural yield patterns To study the impact of temperature rainfall and humidity on crop productivity To develop machine learning models for crop yield prediction under climate variability To identify key climatic factors influencing agricultural output To support climate-resilient agricultural planning,Research paper,Python programming Machine Learning fundamentals Data preprocessing and analysis Statistics and r,Rajni Devi(E15439)
Smart Automatic Street Light System,To reduce energy consumption by automatically controlling street lights based on ambient light and motion detection. To eliminate manual operation of street lights ensuring efficient and reliable functioning. To improve public safety by providing adequate lighting only when vehicles or pedestrians are present. To increase the lifespan of street lights by minimizing unnecessary ON time. To support smart city development through intelligent and automated infrastructure. To reduce operational,Product,sensors,Parul Datta(E17144)
IoT-Based Smart bin,To monitor garbage levels in real time using sensors and IoT technology. To prevent overflow of dustbins by sending timely alerts for waste collection. To improve waste collection efficiency by optimizing collection schedules and routes. To reduce manual monitoring of dustbins saving time and labor. To promote cleanliness and hygiene in public places. To support smart city and digital infrastructure initiatives. To enable data-driven waste management through cloud-based monitoring.,Product,iot,Parul Datta(E17144)
Automatic Plant Watering System,To automate the irrigation process based on real-time soil moisture levels. To conserve water by preventing overwatering and unnecessary water usage. To reduce manual effort required for plant watering. To ensure healthy plant growth by maintaining optimal soil moisture. To improve irrigation efficiency using sensor-based control.,Product,sensors,Parul Datta(E17144)
RFID-Based Attendance Marking System,To automate the attendance process using RFID technology. To reduce manual effort and paperwork involved in attendance management. To improve accuracy and reliability of attendance records. To prevent proxy attendance and unauthorized access. To save time during attendance collection.,Product,sensors,Parul Datta(E17144)
Temperature and Humidity Monitoring System,To measure temperature and humidity accurately using environmental sensors. To monitor environmental conditions in real time. To display measured values clearly for easy observation. To generate alerts when temperature or humidity exceeds set limits. To reduce manual monitoring of environmental conditions.,Product,sensors,Parul Datta(E17144)
Online puzzle Quiz Application,To provide an automated platform for conducting quizzes online. To eliminate manual evaluation and reduce human errors. To save time and resources involved in traditional quiz methods. To enable instant result generation and feedback. To support remote assessments and online learning.,Research paper,python,Parul Datta(E17144)
Expense Tracker Application,To provide a simple and efficient platform for tracking daily expenses. To help users manage personal finances effectively. To categorize expenses for better analysis and understanding. To generate expense summaries and reports automatically. To support budgeting and financial planning.,Research paper,python,Parul Datta(E17144)
Multimodel attention transformer for IIOT intrusion detection,objective to ensure real world feasibility by optimizing the model with less inference time and enabling efficient deployement,Research paper,python,Ankita Dhiman(E11431)
Smart Attendance System Using Face Recognition,To automate classroom attendance. To reduce proxy attendance. To understand basic image processing concepts.,Research paper,OpenCV and Python,Amit Kumar(E13989)
IoT-Based Smart Irrigation System,To optimize water usage in agriculture. To learn sensor-based automation. To understand IoT communication.,Research paper,Python and R programming,Amit Kumar(E13989)
Online Examination System with Automatic Evaluation,To develop a web-based examination platform. To automate result generation. To learn basic web technologies.,Research paper,HTML CSS JavaScript and PHP.,Amit Kumar(E13989)
Early Detection of Alzheimer's Disease Using Multi-Modal Deep Learning with Explainable AI,To analyze MRI and clinical data for Alzheimer's diagnosis To design a multi-modal deep learning model for early detection To improve diagnostic accuracy compared to single-modal approaches To apply Explainable AI techniques for transparent decision making To support clinicians with interpretable AI-based predictions,Research paper,Python Machine Learning Deep Learning Medical Imaging Data Analysis,Narinder Kaur(E12264)
Weather Forecasting Using Machine Learning,To analyze historical weather data. To apply basic machine learning algorithms. To predict temperature or rainfall.,Research paper,DL and ML,Amit Kumar(E13989)
Chatbot for College Enquiry System,To automate student enquiry handling. To understand Natural Language Processing basics. To improve user interaction.,Research paper,Python,Amit Kumar(E13989)
Road Accident Analysis Using Data Analytics,To analyze accident data. To identify accident-prone areas. To visualize statistical trends.,Research paper,Python,Amit Kumar(E13989)
Password Strength Checker Using Python,To evaluate password security. To understand cybersecurity basics. To promote safe password practices.,Research paper,Python,Amit Kumar(E13989)
"Implementation of Anomaly-Based Intrusion Detection System Using Machine Learning",This project aims to design an anomaly-based Intrusion Detection System using machine learning techniques to detect suspicious network activities. The system learns normal network behavior from traffic data and identifies deviations as potential intrusions. Algorithms such as Isolation Forest SVM or Random Forest are applied to improve detection accuracy and reduce false positives enhancing network security.,Research paper,Python Machine Learning Networking Basics Cyber Security Data Preprocessing,Narinder Kaur(E12264)
Student Performance Prediction System using python,To predict student academic performance. To apply basic data mining techniques. To support early intervention.,Research paper,Python,Amit Kumar(E13989)
Smart Waste Management System Using IoT and python,To monitor waste levels in bins. To improve waste collection efficiency. To learn IoT sensor integration.,Research paper,Python,Amit Kumar(E13989)
Weather Prediction Using Machine Learning Techniques,To study basic weather parameters and datasets To collect and preprocess historical weather data To implement machine learning models for prediction To compare model performance using accuracy metrics To develop a simple weather prediction system,Product,Python Machine Learning Basics Data Analysis Statistics Visualization,Narinder Kaur(E12264)
Early Detection of Wheat Diseases,Development of Al/ML-based image recognition tools integrated with drone/satellite data and mobile apps to provide real-time detection mapping and alerts to farmers.,Patent,Machine learning and python,Navjot Kaur(E17204)
Recovery and reuse of Fresh water resources,This problem statement proposes the design of a Smart Process System design for separation and cleaning at primary (solid removal) secondary (organic removal) and tertiary (nutrient and advanced contaminant removal) treatment stages with the level of treatment determined by the intended reuse.,Patent,Machine learning and python,Navjot Kaur(E17204)
Water Quality Prediction,"1. To design and implement a predictive model that accurately estimates water quality or potability using measured water parameters. 2. To build a prototype software or web application that allows users to input water quality readings and receive an automatic prediction of water safety.",Research paper,Machine learning and python,Navjot Kaur(E17204)
Automatic Street Light System,The objective of the Smart Automatic Street Light System is to design and implement an energy-efficient lighting solution that automatically controls street lights based on ambient light intensity. The system aims to reduce power consumption by switching lights ON only during darkness and OFF during daylight. It eliminates manual operation minimizes human error supports sustainable energy usage and provides a cost-effective and reliable solution suitable for smart city and public lighting app,Product,Arduino Basics,Neha (E10457)
Smart Attendance System Using Face Recognition with Bias Analysis,Build a face-recognition-based attendance system and analyze bias across lighting conditions pose and gender.,Research paper,ML,Kiranjeet Kaur Sandhu(E12258)
Fake News Detection Using Classical ML and NLP Techniques,Detect fake news using TF-IDF + ML models and analyze which features matter most.,Research paper,Naive Bayes SVM Random Forest,Kiranjeet Kaur Sandhu(E12258)
Smart Traffic Density Prediction Using Image Processing,Estimate traffic density using background subtraction and object counting,Research paper,Open CV,Kiranjeet Kaur Sandhu(E12258)
IoT-based smart medicine reminder box,"1.To generate multi-mode reminders (light sound and/or text notifications) at scheduled times so that patients are alerted whenever a dose is due. 2. To detect and log each box opening (or pill retrieval) as a proxy for dose intake and store this data on a backend or cloud database for later analysis.",Patent,Basic C programming for Arduino Circuit design and sensor interfacing,Navjot Kaur(E17204)
Phishing Website Detection Using Machine Learning,Detect phishing websites by analyzing URL-based and domain features using classical ML models.,Research paper,Logistic Regression Random Forest SVM,Kiranjeet Kaur Sandhu(E12258)
Smart Energy Consumption Prediction Using Machine Learning,Predict household energy consumption using historical usage data.,Research paper,Linear Regression Random Forest,Kiranjeet Kaur Sandhu(E12258)
Password Manager Application,Securely store user credentials Implement encryption techniques Generate strong passwords Build a user-friendly interface Improve password security awareness,Product,C++/Qt or Python Encryption basics File handling UI design,Neha (E10457)
Online Discussion Forum Website,Enable user-generated content Implement CRUD operations Design a responsive UI Manage posts efficiently Encourage online discussions,Product,Node.js Express MongoDB HTML CSS JavaScript,Neha (E10457)
Smart Online Voting System,Provide secure online voting Authenticate voters effectively Prevent multiple voting attempts Display election results transparently Reduce manual voting effort,Product,HTML CSS JavaScript Node.js Express MongoDB,Neha (E10457)
Real-Time Chat Application,Enable real-time communication Implement user authentication Store chat history securely Show online/offline status Improve user interaction,Product,HTML CSS JavaScript Node.js Socket.IO MongoDB,Neha (E10457)
Online Learning Management System (LMS),Manage courses and users Enable student enrollment Track learning progress Provide role-based access Improve digital learning experience,Product,HTML CSS JavaScript Node.js Express Database basics,Neha (E10457)
Job Portal Web Application,Simplify job search process Enable job postings and applications Manage user profiles Improve recruitment efficiency Organize job listings effectively,Product,HTML CSS JavaScript Node.js Express MongoDB,Neha (E10457)
Event Management and Booking System,Display upcoming events Enable online ticket booking Manage event details Generate booking confirmations Reduce manual event handling,Product,HTML CSS JavaScript Node.js Express Payment Gateway basics,Neha (E10457)
Blockchain-Enabled IoT Data Integrity System,To ensure secure and tamper-proof IoT sensor data storage,Research paper,smart contracts IoT gateways,Kiranjeet Kaur Sandhu(E12258)
Personal Finance Tracker,Track income and expenses Categorize financial data Visualize spending trends Improve financial planning Maintain secure user data,Product,HTML CSS JavaScript Node.js MongoDB Chart libraries,Neha (E10457)
Attendance Management System using PHP,Automate attendance process Generate attendance reports Reduce errors and paperwork Improve data accuracy,Product,php html css mysql javascript,Ankita Dhiman(E11431)
Machine Learning-Based Student Performance Prediction System,To predict student academic performance using ML techniques.,Research paper,Python ML Algorithms Data Visualization Statistics,Gurmeet Kaur(E6709)
Smart Traffic Signal Control Using IoT & Machine Learning,To optimize traffic signal timing based on real-time vehicle density,Research paper,sensors Python ML,Kiranjeet Kaur Sandhu(E12258)
Fake News Detection Using Natural Language Processing and Machine Learning,To automatically identify fake news articles using ML and NLP techniques.,Research paper,Python NLP Machine Learning Text Preprocessing,Gurmeet Kaur(E6709)
Credit Risk Assessment Using Machine Learning Models,To evaluate creditworthiness of loan applicants using ML.,Research paper,Python Machine Learning Data Analysis Statistics,Gurmeet Kaur(E6709)
Edge-AI Based Smart Surveillance System,To perform real-time object detection at the edge with reduced latency,Research paper,Raspberry Pi Python,Kiranjeet Kaur Sandhu(E12258)
Machine Learning-Based Crop Yield Prediction System,To predict crop yield using historical agricultural and environmental data.,Research paper,Python Machine Learning Data Preprocessing Regression Models,Gurmeet Kaur(E6709)
Predictive Maintenance System Using IoT Sensors,To predict equipment failure using vibration and temperature data,Research paper,sensors Python ML,Kiranjeet Kaur Sandhu(E12258)
IoT-Based Cold Storage Monitoring System,To prevent food spoilage by real-time temperature and humidity monitoring,Research paper,Sensors IOT,Kiranjeet Kaur Sandhu(E12258)
Sentiment Analysis of Social Media Data Using Machine Learning,To analyze public sentiment from social media posts.,Research paper,Python NLP Machine Learning Text Analytics,Gurmeet Kaur(E6709)
AI-Enabled Wearable Device for Early Stroke Prediction,To design a wearable hardware system capable of real-time health monitoring and stroke risk prediction using deep learning. To reduce diagnosis delay through continuous data analysis and edge intelligence. To develop a patentable healthcare product that improves patient outcomes and enables preventive care.,Patent,Python Embedded Systems Deep Learning Signal Processing IoT,Gitanjali(E16525)
AI-Based Smart Helmet for Accident Detection and Rider Safety,To design an intelligent helmet that detects accidents instantly using AI-based sensor fusion. To minimize emergency response time through automated alert systems. To create a commercially viable and patentable smart safety product for two-wheeler riders.,Patent,Python Deep Learning Embedded C Sensor Integration IoT,Gitanjali(E16525)
Intelligent Smart Bin for Automated Waste Segregation,To automate waste segregation using deep learning and embedded vision. To reduce human involvement and improve recycling efficiency. To design a scalable and patentable hardware solution supporting sustainable waste management systems.,Patent,Python Computer Vision Deep Learning Embedded Systems IoT,Gitanjali(E16525)
AI-Powered Smart Irrigation Controller Using Edge Intelligence,To develop an AI-driven irrigation system that improves water efficiency. To integrate real-time sensor data with predictive models. To create a patent-worthy smart agriculture solution for sustainable farming.,Patent,Python Machine Learning Embedded Systems IoT Data Analytics,Gitanjali(E16525)
Multi-Agent IoT Framework with Deep Learning for Predictive Diagnostics and Monitoring,To design an intelligent multi-agent healthcare framework that enables autonomous pre-consultation assessment predictive diagnostics and continuous patient monitoring. The system aims to integrate IoT-based real-time physiological data with transfer learning–enhanced deep learning models to improve diagnostic accuracy enable early anomaly detection reduce physician workload and deliver scalable personalized and preventive healthcare solutions in resource-constrained environments.,Patent,Python Deep Learning IoT Basics Healthcare Data Analysis Multi-Agent Systems,Gitanjali(E16525)
Student Performance Prediction Using Deep Learning Models,To predict student outcomes using deep learning. To support academic decision-making through predictive analytics. To publish findings in reputed education-focused research journals.,Research paper,Python Machine Learning Deep Learning Statistics Data Analysis,Gitanjali(E16525)
Disease Prediction Using Ensemble Machine Learning Models,To improve disease prediction accuracy. To analyze ensemble learning effectiveness. To contribute to healthcare analytics research literature.,Research paper,Machine Learning Python Data Analytics Statistics Healthcare Data,Gitanjali(E16525)
Credit Card Fraud Detection Using Deep Learning,To enhance fraud detection accuracy. To analyze deep learning models in finance. To publish research findings in fintech journals.,Research paper,Python Deep Learning Data Mining Statistics Financial Analytics,Gitanjali(E16525)
Sentiment Analysis of Social Media Using Deep Learning,To analyze sentiment trends using deep learning. To improve NLP model accuracy. To publish research outcomes in data science forums.,Research paper,Python NLP Deep Learning Text Mining Data Analysis,Gitanjali(E16525)
Mental Health Prediction Using Deep Learning,To identify mental health risks early. To apply deep learning in healthcare analytics. To publish research findings in medical AI journals.,Research paper,Deep Learning Python Data Analytics Healthcare AI Statistics,Gitanjali(E16525)
Medical supply chain transparency,"To design a blockchain-based model that records each transfer of drugs and vaccines from manufacturer to patient.? 2. To implement a prototype smart contract system for registering batches transferring ownership and verifying product authenticity using unique identifiers (e.g. QR/serial codes).? 3. To reduce the risk of counterfeit and substandard medicines by enabling stakeholders (distributors hospitals pharmacies patients) to verify origin and full history on an immutable ledger.",Research paper,"1. Basic programming fundamentals in at least one language C/C++/Java/Python and blockchain basics.",Navjot Kaur(E17204)
"AgriChain Green: Blockchain-Enabled Traceability of Soil & Farming for Sustainable Agriculture","1. To design a blockchain-based model that records soil and farm management data for each field creating a tamper-proof history of soil health and agricultural practices. 2. To implement a prototype smart contract system that associates plots with sustainability indicators and can issue simple rewards or certifications when predefined thresholds are satisfied.",Research paper,"1. at least one language (C/C++/Java/Python) 2. Blockchain fundamentals.",Navjot Kaur(E17204)
EventNest : An Interest-Based College Event Recommendation System,To solve the problem of scattered college event information To provide personalized event recommendations to students To use Python and basic AI concepts in a real-world application To increase student participation in college activities To design a system that can be scaled in the future using advanced AI techniques,Product,"frontend: vanilla backend: flask database : sqlite NLTK / simple keyword matching  Python",Ankita Dhiman(E11431)
AI-Based Drug Repurposing for Depression Treatment,To design a predictive ML framework that identifies potential antidepressant drugs from existing databases. The objective is to support faster drug discovery reduce trial failures and enhance therapeutic strategies for depression.,Research paper,Python Machine Learning Bioinformatics Data Analysis Statistics,Gagandeep Kaur(E19500)
Machine Learning–Based Early Detection of Depression,To build an early-warning system that assists healthcare professionals in timely diagnosis and prevention of depression.,Patent,Python ML Algorithms Data Preprocessing Statistics Visualization,Gagandeep Kaur(E19500)
AI-Based Mental Health Awareness Platform,To increase mental health literacy and encourage early self-help actions.,Hackathon,Python Web Development ML Basics UI/UX Design APIs,Gagandeep Kaur(E19500)
ML-Based Identification of Mental Health Risk Factors,To identify and rank key mental health risk factors for preventive healthcare planning.,Research paper,Python Data Analysis Machine Learning Survey Design Statistics,Gagandeep Kaur(E19500)
Public Health Surveillance System for Depression,To support policymakers with data-driven insights for mental health interventions.,Research paper,Python Data Analytics Machine Learning Field Survey Methods GIS Basics,Gagandeep Kaur(E19500)
Machine Learning Based Early Detection of Eye Glaucoma Using Retinal Images,To study glaucoma and its visual indicators in retinal images To preprocess and enhance retinal fundus images To extract meaningful features related to glaucoma To train and evaluate machine learning models for classification To build an efficient system for early glaucoma detection,Product,Python Machine Learning basics Image Processing NumPy & OpenCV Data Analysis,Narinder Kaur(E12264)
Smart IoT-Based Energy Monitoring System,To reduce energy wastage by providing real-time consumption data and analytics to users for informed decision-making.,Product,Arduino Sensors IoT Protocols Embedded C,Shikha Atwal(E11186)
Smart Dustbin,To promote cleanliness by ensuring timely trash collection and reducing overflow using a smart monitoring system.,Product,Arduino Sensors IoT basics Basic coding Circuit Design,Shikha Atwal(E11186)
Smart Agriculture Irrigation System,To design an irrigation system that optimizes water usage based on environmental data reducing wastage and improving productivity.,Product,IoT basics Arduino Sensors C Programming Data Analysis,Shikha Atwal(E11186)
Intelligent Traffic Signal Control System,To optimize traffic flow and reduce congestion and waiting time at intersections.,Product,Embedded C Sensors Microcontrollers Signal Logic Electronics,Shikha Atwal(E11186)
Intelligent Question Paper Blueprint Generator,To assist faculty in creating standardized outcome-aligned assessments efficiently.,Product,Python Rule-Based Logic OBE Concepts Basic UI Design,Shikha Atwal(E11186)
Predictive Student Performance Early-Warning System,To improve student success rates by enabling timely academic support.,Product,Python Machine Learning Data Preprocessing Statistics,Shikha Atwal(E11186)
AI-Based Academic Timetable Conflict Detection System,To minimize scheduling conflicts improve resource utilization and reduce manual planning effort in academic institutions.,Product,Python Constraint Logic Data Structures Basic AI Concepts,Shikha Atwal(E11186)
Smart Irrigation and Crop Advisory System,Design low-cost sensor network for field conditions. Implement automated irrigation control logic with thresholds. Build farmer dashboard (local language support) for insights. Analyze water savings and yield improvement over baseline.,Product,IoT Data Analytics Agriculture Technology,Sandeep Singh(E14163)
Energy-Efficient Smart Classroom Management,Deploy sensor network for occupancy and ambient conditions. Implement control logic and actuator interface for devices. Store and analyze energy-usage data with visual dashboards. Quantify potential cost and carbon-emission savings.,Product,IoT Platforms Microcontrollers Basic Electrical Concepts Database Web Dashboards,Sandeep Singh(E14163)
Cloud-Ready Inventory & Invoice Management System,"Implement core modules: product catalog stock update sales invoice. Maintain transactional records and low-stock alerts. Containerize the app (Docker) and deploy on a free-tier cloud. ? Expose simple REST APIs for future integration with POS/mobile apps.",Hackathon,Any Backend Framework HTML/CSS/JS SQL/NoSQL Basics Docker/Cloud Basics REST APIs,Sandeep Singh(E14163)
Smart Queue Management for Service Counters,Implement token generation and live queue view. Estimate wait times using simple analytics on past data. Provide display screen and user app / web view. Present cost–benefit analysis for adopters.,Hackathon,Web/Mobile Dev Basic Analytics APIs Realtime DB/Socket UX,Sandeep Singh(E14163)
AI Helpdesk Bot for University Freshers,Prepare FAQ knowledge base from existing IT policies. Implement intent detection and FAQ retrieval. Integrate simple ticket form and status tracking. Showcase reduction in support load via sample scenarios.,Hackathon,Python/Node NLP/FAQ APIs Webhooks DB Chat UI,Sandeep Singh(E14163)
AI-Based Bone Mineral Density (BMD) Estimation from X-ray Images,AI-Based Bone Mineral Density (BMD) Estimation from X-ray Images uses deep learning models to automatically predict BMD values directly from bone X-ray images.,Research paper,Python,Deepika (E2851)
AI-Based Bone Fracture Detection from X-ray Images Using Deep Learning,To develop an AI-based deep learning system that accurately detects bone fractures from X-ray images to assist faster and more reliable medical diagnosis.,Research paper,Python,Deepika (E2851)
Multimodal AI System for Breast Cancer Risk Prediction,To develop a multimodal AI system that integrates mammogram images and clinical data to accurately predict breast cancer risk and support early clinical decision-making.,Research paper,Python,Deepika (E2851)
Virtual Classroom System,To create a platform that facilitates seamless remote learning ensuring accessibility to quality education regardless of location.,Product,JavaScript Python HTML/CSS Databases APIs,Shikha Atwal(E11186)
Explainable AI Model for PCOD Diagnosis,To develop an explainable AI model that accurately diagnoses PCOD using clinical and lifestyle data providing interpretable insights to assist doctors in decision-making.,Research paper,Python,Deepika (E2851)
Machine Learning Techniques for Perception and Planning in Autonomous Vehicles,To develop robust perception models using machine learning techniques for accurate object detection localization and tracking in autonomous driving environments and to evaluate system performance in terms of perception accuracy planning efficiency safety and real-time computational feasibility.,Research paper,Machine learning with understanding of research papers,Anupriya (E10436)
Machine Learning Techniques for Smart Traffic and Transportation Systems,To design adaptive traffic signal control mechanisms using reinforcement learning and optimization-based ML approaches.,Research paper,Machine learning with understanding of research papers,Anupriya (E10436)
Portfolio Website,This project helps you learn how websites are structured. You create your own online space to display skills education and projects. It teaches layout design styling and simple interactions. It also builds a base for future frontend work.,Product,HTML CSS Java Script,Neha Kapur(E13446)
Basic Chat Program,"Set up a server program that listens for incoming connections. Build a client program that connects to the server and sends text messages. Exchange messages by sending short strings through sockets. Display incoming messages instantly so the chat feels responsive. Add a small UI if you want to move beyond the console. Test the setup by running the server and client on the same system or on two devices.",Product,Python Socket programming Simple console or Tkinter UI,Neha Kapur(E13446)
Web-based Application for Automatic Timetable Generation,The difficulty of making timetables for classrooms is a scheduling algorithm with tremendous curiosity and association in the fields of artificial intelligence and operational research. This problem is being dealt in many organizations manually i.e. timetables are set using a trial and error procedure. The process of preparing a timetable involves beneficial employment of resources which needs to be confronted each year by every educational institute,Product,AI,Neha Kapur(E13446)
DIY Examination Grading System,"It has been observed that the computation compilation and most importantly grading of student's results with the use of manual and some general purpose software (off shell packages) is time consuming creates fatigue and prone to errors. These have also been factors contributing to students' failure and delay is sometimes inevitable. This project sought to encourage the use of customized computer packages and software applications which will improve accuracy in students' results grading and aca",Product,PYTHON C C++,Neha Kapur(E13446)
Image Steganography – Hiding Information in Images,"Steganography is the art of hiding the fact that communication is taking place by hiding information in other information. This project is developed for hiding information in any image file. The scope of the project is implementation of steganography tools for hiding information includes any type of information file and image files and the path where the user wants to save Image and extruded file. .",Research paper,Python or Java SQLite or CSV Simple UI (Tkinter optional),Neha Kapur(E13446)
Facial Expression Recognition System,"his is called the ""Simulative Emotional Expression System"" and many companies making robots are trying to do the same thing. It's important because it blurs the line between humans and machines especially for robots that are supposed to be companions for people. However SEER's technology can cost a lot of money. I want to create a basic low-cost and open-source version of this technology so that new engineers in robotics can use it and make their own systems. This is a big project so I'l",Product,PYTHON C,Neha Kapur(E13446)
Machine Learning-based Multiple Disease Prediction,"Due to the increasing global diabetes prevalence Diabetic Retinopathy (DR) detection is still an outstanding medical challenge. Manual inspec-tion methods in traditional environments are time consuming accompa-nied with human error and inconsistent. Important but yet unsolved gaps such as class imbalance handling redundant feature extraction overfitting due to high dimensionality and lacking the combination of global and local retinal patterns in previous machine learning and deep learning",Research paper,PYTHON,Neha Kapur(E13446)
DIABETIC RETINOPATHY,"Due to the increasing global diabetes prevalence Diabetic Retinopathy (DR) detection is still an outstanding medical challenge. Manual inspec-tion methods in traditional environments are time consuming accompa-nied with human error and inconsistent. Important but yet unsolved gaps such as class imbalance handling redundant feature extraction overfitting due to high dimensionality and lacking the combination of global and local retinal patterns in previous machine learning and deep learning",Research paper,PYTHON,Neha Kapur(E13446)
Performance Evaluation for Classifying Type 2 Diabetic Retinopathy using Deep Neural Network,EARLY DETECTION OF DR,Research paper,Python or Java SQLite or CSV Simple UI (Tkinter optional),Neha Kapur(E13446)
DIABETIC RETINOPATHY DETECTION AND CATEGORIZING USING A LIGHTWEIGHT DEEP LEARNING APPROAC,"Diabetic retinopathy is an ocular disorder that has the potential to result in visual impairment and complete loss of vision in those diagnosed with diabetes. This illness affects the retinal blood vessels inside the light-sensitive tissue layer at the posterior of the eye known as the retina. This paper presents a complete approach to diagnosing and categorizing diabetic retinopathy using deep learning models. A lightweight Convolutional Neural Network (CNN) is used to detect diabetic retinopa",Research paper,Python or Java SQLite or CSV Simple UI (Tkinter optional),Neha Kapur(E13446)
Automatic Touchless Waste Bin Using Arduino,To design and implement an Arduino-based smart dustbin that automatically opens its lid using an ultrasonic sensor promoting touchless and hygienic waste disposal.,Patent,"Arduino programming basics ultrasonic sensor interfacing servo motor control basic electronics  s",Deepika (E2851)
Automated Attendance Management Using Face Recognition,To eliminate manual attendance improve accuracy reduce time consumption and implement a secure and automated attendance system using face recognition techniques.,Product,Python Machine Learning OpenCV Deep Learning Database Management,Amandeep Kaur(E11813)
Multi-Class Brain Tumor Classification Using MRI Images,To design an accurate tumor classification model that assists doctors in early diagnosis and improves treatment planning.,Product,Python Deep Learning CNN Image Processing Medical Imaging,Amandeep Kaur(E11813)
Automated Irrigation System Using IoT,To optimize water usage in agriculture using smart sensing and automation.,Product,IoT Arduino Sensors Embedded Systems Cloud Platforms,Amandeep Kaur(E11813)
Smart Campus Safety & Emergency Alert System,The objective is to enhance campus safety through fast reliable emergency communication. The system aims to minimize response time improve situational awareness and provide real-time location tracking to authorities during emergencies.,Product,Arduino,Vaneet Kumar(E11321)
AI-Based Personalized Nutrition Recommendation System for PCOD,To develop an AI-based system that analyzes nutritional and lifestyle data to provide personalized diet recommendations for effective PCOD management.,Research paper,Python,Deepika (E2851)
Automated Detection of Plant Leaf Diseases Using Image Processing Techniques,To perform image preprocessing and segmentation for disease detection,Research paper,Python Image Processing Machine Learning OpenCV Basic Statistics,Shikha Kamal(E12552)
Face Mask Detection System Using Image Processing and Deep Learning,To design an automated system for detecting face mask usage from images To apply image preprocessing and face detection techniques,Research paper,Python Digital Image Processing OpenCV Machine Learning Basic Statistics,Shikha Kamal(E12552)
Medical Image Analysis for Early Detection of Brain Tumors,To study medical image processing techniques for brain MRI analysis To preprocess and enhance MRI images for better tumor visibility,Research paper,Python Digital Image Processing OpenCV Machine Learning Basic Statistics,Shikha Kamal(E12552)
Secure E-Healthcare Web Portal for Patient Data Management,To develop a secure web-based healthcare portal To implement role-based access control,Product,HTML CSS JavaScript Backend Framework Database Systems,Shikha Kamal(E12552)
AI-Based Job Recommendation System Using Web Application,To design an interactive job recommendation web app,Product,HTML CSS JavaScript Python Basic Machine Learning,Shikha Kamal(E12552)
Smart Air Quality Monitoring System using IoT,To develop a real-time air quality monitoring system that collects transmits and visualizes environmental data using IoT technology to support pollution analysis.,Patent,C programming IoT basics Sensors Embedded systems Networking,Vetrithangam D(E11018)
Smart Irrigation System using IoT and Sensors,To reduce water wastage and improve crop yield by automating irrigation using sensor-driven decision-making.,Patent,Embedded C IoT Sensors Microcontrollers Basic electronics,Vetrithangam D(E11018)
AI based Waste Management System,To improve waste collection efficiency and promote cleaner urban environments using smart monitoring.,Product,IoT Embedded C Networking Sensors Mobile/Web basics,Vetrithangam D(E11018)
Accident Detection and Alert System using Sensors,To reduce emergency response time by automatically detecting accidents and sending alerts.,Patent,Embedded C Sensors IoT GPS/GSM basics Microcontrollers,Vetrithangam D(E11018)
E-Library System with AI Search Engine,"Intelligent Search Personalized Recommendations AI-Powered Summaries Text-to-Speech/Audio Unified Access Research Assistance Admin Modules",Patent,Library System AI,Soumya Ranjan Jena(E19677)
Edge Computing Based Patient Monitoring in Rural Clinics,"Reduced Latency Improved Reliability and Offline Capability Enhanced Data Security and Privacy Optimized Bandwidth Use Increased Accessibility to Specialized Care Faster AI-Powered Diagnostics",Patent,Egde Computing Cloud Computing,Soumya Ranjan Jena(E19677)
Automatic Pesticide Sprayer Drone,"Autonomous Flight Modes Obstacle Avoidance Precision Spraying Safety Enhancements",Product,Drone Technology Applications,Soumya Ranjan Jena(E19677)
AI-Based Earthquake Impact Prediction Model,"Prediction vs. Forecasting Data Souces Model Type Early Waning System Impact Zone Prediction Resource Allocation and Damage Assessment",Research paper,AI Machine Learning and Deep Learning,Soumya Ranjan Jena(E19677)
Low-Cost Energy Efficient Fan Using Arduino,"Low Cost Energy Efficient Automatic Adjustment PWM Control",Product,IoT Arduino Uno/Nano,Soumya Ranjan Jena(E19677)
